__time,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1778092886.707622,,,,1778092886.707389593,0.641879112,-1.319050434,-0.843534618,-0.273269056
1778092886.708481,-6.509727660,1.767968920,0.000000000,,,,,
1778092886.708500,,,,1778092886.708379030,0.640482161,-1.325908953,-0.843820567,-0.271406359
1778092886.709419,-6.515597875,1.793763897,0.000000000,,,,,
1778092886.709436,,,,1778092886.709329605,0.639213460,-1.332114382,-0.844077426,-0.269697985
1778092886.710376,-6.520890140,1.817069392,0.000000000,,,,,
1778092886.710418,,,,1778092886.710289955,0.637886194,-1.338580158,-0.844343058,-0.267896274
1778092886.711424,-6.526394163,1.841351479,0.000000000,,,,,
1778092886.711441,,,,1778092886.711345434,0.636450965,-1.345541569,-0.844626716,-0.265932187
1778092886.712438,-6.532310450,1.867501960,0.000000000,,,,,
1778092886.712481,,,,1778092886.712318182,0.635181347,-1.351677309,-0.844874856,-0.264178059
1778092886.713500,-6.537503962,1.890512566,0.000000000,,,,,
1778092886.713526,,,,1778092886.713369131,0.633808604,-1.358284405,-0.845139915,-0.262267422
1778092886.714465,-6.543087333,1.915297618,0.000000000,,,,,
1778092886.714483,,,,1778092886.714359522,0.632387359,-1.365096616,-0.845410894,-0.260273347
1778092886.715439,-6.548830741,1.940848379,0.000000000,,,,,
